id;name;order_number;area_id;process_id
600;Cyber-Optics;Cyber-Optics;3;45;3
601;P&P Panasonic;P&P Panasonic;4;45;5
602;Reflow;Reflow;5;45;6
603;AOI MODUS;AOI MODUS;6;45;12
604;X-RAY;X-RAY;7;45;81
605;ICT test;ICT test;8;45;13
606;Coating;Coating;9;45;15
607;Control Coating;Control Coating;10;45;58
608;Rooter;Rooter;11;45;60
609;ASSEMBLAGE;ASSEMBLAGE;12;45;87
610;FKT;FKT;13;45;31
611;Shipping Client;Shipping Client;14;45;57
612;Lazer;Lazer;1;46;1
613;Serigraphie DEK;Serigraphie DEK;2;46;63
614;Cyber-Optics;Cyber-Optics;3;46;3
615;P&P Panasonic;P&P Panasonic;4;46;5
616;Reflow;Reflow;5;46;6
617;AOI MODUS;AOI MODUS;6;46;12
618;X-RAY;X-RAY;7;46;81
619;ICT test;ICT test;8;46;13
620;Coating;Coating;9;46;15
621;Control Coating;Control Coating;10;46;58
622;Rooter;Rooter;11;46;60
623;Machine assembly;Machine assembly;12;46;163
624;FKT;FKT;13;46;31
625;Shipping Client;Shipping Client;14;46;57
626;Lazer;Lazer;1;47;1
627;Serigraphie DEK;Serigraphie DEK;2;47;63
628;Cyber-Optics;Cyber-Optics;3;47;3
629;P&P Panasonic;P&P Panasonic;4;47;5
630;Reflow;Reflow;5;47;6
631;AOI MODUS;AOI MODUS;6;47;12
632;Preparation Cambrage;Preparation Cambrage;7;47;74
633;Insertion Manuelle;Insertion Manuelle;8;47;67
634;Wave Soldering;Wave Soldering;11;47;105
635;ICT test;ICT test;13;47;13
636;Coating;Coating;14;47;15
637;Control Coating;Control Coating;15;47;58
638;Dispensing;Dispensing;16;47;139
639;FKT;FKT;17;47;31
640;Climatic Chamber;Climatic Chamber;19;47;83
641;Shipping Client;Shipping Client;20;47;57
642;Lazer;Lazer;1;48;1
643;Serigraphie DEK;Serigraphie DEK;2;48;63
644;Cyber-Optics;Cyber-Optics;3;48;3
645;P&P Panasonic;P&P Panasonic;4;48;5
646;Reflow;Reflow;5;48;6
647;AOI MODUS;AOI MODUS;6;48;12
648;X-RAY;X-RAY;7;48;81
649;Preparation Cambrage;Preparation Cambrage;8;48;74
650;Insertion Manuelle;Insertion Manuelle;9;48;67
651;Wave Soldering;Wave Soldering;13;48;105
652;ICT test;ICT test;15;48;13
653;Coating;Coating;16;48;15
654;Control Coating;Control Coating;17;48;58
655;Dispensing;Dispensing;18;48;139
656;FKT;FKT;19;48;31
657;AOI OMRON;AOI OMRON;20;48;7
658;Shipping Client;Shipping Client;21;48;57
659;Lazer;Lazer;1;49;1
660;Serigraphie DEK;Serigraphie DEK;2;49;63
661;Cyber-Optics;Cyber-Optics;3;49;3
662;P&P Panasonic;P&P Panasonic;4;49;5
663;Reflow;Reflow;5;49;6
664;AOI MODUS;AOI MODUS;6;49;12
665;X-RAY;X-RAY;7;49;81
666;Preparation Cambrage;Preparation Cambrage;8;49;74
667;Insertion Manuelle;Insertion Manuelle;9;49;67
668;Wave Soldering;Wave Soldering;13;49;105
669;ICT test;ICT test;15;49;13
670;Coating;Coating;16;49;15
671;Control Coating;Control Coating;17;49;58
672;Dispensing;Dispensing;18;49;139
673;FKT;FKT;19;49;31
674;AOI OMRON;AOI OMRON;20;49;7
675;Shipping Client;Shipping Client;21;49;57
676;Lazer;Lazer;1;50;1
677;Serigraphie DEK;Serigraphie DEK;2;50;63
678;Cyber-Optics;Cyber-Optics;3;50;3
679;P&P Panasonic;P&P Panasonic;4;50;5
680;Reflow;Reflow;5;50;6
681;AOI MODUS;AOI MODUS;6;50;12
682;X-RAY;X-RAY;7;50;81
683;Preparation Cambrage;Preparation Cambrage;8;50;74
684;Insertion Manuelle;Insertion Manuelle;9;50;67
685;Wave Soldering;Wave Soldering;13;50;105
686;ICT test;ICT test;15;50;13
687;Coating;Coating;16;50;15
688;Control Coating;Control Coating;17;50;58
689;Dispensing;Dispensing;18;50;139
690;FKT;FKT;19;50;31
691;AOI OMRON;AOI OMRON;20;50;7
692;Shipping Client;Shipping Client;21;50;57
693;Lazer;Lazer;1;51;1
694;Serigraphie DEK;Serigraphie DEK;2;51;63
695;Cyber-Optics;Cyber-Optics;3;51;3
696;P&P Panasonic;P&P Panasonic;4;51;5
697;Reflow;Reflow;5;51;6
698;AOI OMRON;AOI OMRON;6;51;7
699;X-RAY;X-RAY;7;51;81
700;ICT test;ICT test;8;51;13
701;Coating;Coating;9;51;15
702;Control Coating;Control Coating;10;51;58
703;Rooter;Rooter;11;51;60
704;Labeling;Labeling;12;51;84
705;FKT;FKT;13;51;31
706;Shipping Client;Shipping Client;14;51;57
707;Lazer;Lazer;1;52;1
708;Serigraphie DEK;Serigraphie DEK;2;52;63
709;Cyber-Optics;Cyber-Optics;3;52;3
710;P&P Panasonic;P&P Panasonic;4;52;5
711;Reflow;Reflow;5;52;6
712;AOI OMRON;AOI OMRON;6;52;7
713;X-RAY;X-RAY;7;52;81
714;Preparation Cambrage;Preparation Cambrage;8;52;74
715;Insertion Manuelle;Insertion Manuelle;9;52;67
716;Wave Soldering;Wave Soldering;13;52;105
717;ICT test;ICT test;15;52;13
718;Coating;Coating;16;52;15
719;Control Coating;Control Coating;17;52;58
720;Rooter;Rooter;18;52;60
721;Dispensing;Dispensing;19;52;139
722;FKT;FKT;20;52;31
723;Shipping Client;Shipping Client;22;52;57
724;AOI 2D (Certified C in other WS);AOI 2D (Certified C in other WS);1;1;164
725;AOI 3D THT;AOI 3D THT;1;28;165
726;AOI A72 (Certified C in other WS);AOI A72 (Certified C in other WS);1;1;166
727;AOI IPTE/AOI CVC (Certified C in other WS);AOI IPTE/AOI CVC (Certified C in other WS);1;1;167
728;AOI modus (Certified C in other WS);AOI modus (Certified C in other WS);1;1;168
729;AOI Omron (Certified C in other WS);AOI Omron (Certified C in other WS);1;1;169
730;Assemblage (REVITING/GLUING/SPEAKER);Assemblage (REVITING/GLUING/SPEAKER);1;1;170
731;Automatic Fuse Insertion;Automatic Fuse Insertion;1;1;171
732;Automatic Insertion;Automatic Insertion;1;1;172
733;Bending;Bending;1;1;173
734;bushing;bushing;1;1;174
735;Coating emertionLazpiur;Coating emertionLazpiur;1;1;175
736;Coating PVA;Coating PVA;1;1;176
737;coating spray / Insertion;coating spray / Insertion;1;1;177
738;Connector screwing;Connector screwing;1;1;178
739;Cover Assembly 1;Cover Assembly 1;1;1;179
740;Cover Assembly 2;Cover Assembly 2;1;1;180
741;Cover Assembly 3;Cover Assembly 3;1;1;181
742;Cover Assy /houssing;Cover Assy /houssing;1;1;182
743;Cover Assy including screwing;Cover Assy including screwing;1;1;183
744;Crimping;Crimping;1;1;184
745;Cutting BUSBAR;Cutting BUSBAR;1;1;185
746;Cutting Preparation Busbar;Cutting Preparation Busbar;1;1;186
747;Cyber Optique (Certified C in other WS);Cyber Optique (Certified C in other WS);1;1;187
748;DEK/MPM;DEK/MPM;1;1;188
749;Depanneling;Depanneling;1;1;189
750;Dukane;Dukane;1;1;190
751;Easy Rooter Shipping;Easy Rooter Shipping;1;1;191
752;Edge Coating IPTE;Edge Coating IPTE;1;1;192
753;Edge Coating KNODEL;Edge Coating KNODEL;1;1;193
754;EOL assembly 1;EOL assembly 1;1;1;194
755;EOL assembly 2;EOL assembly 2;1;1;195
756;EOL assembly 3;EOL assembly 3;1;1;196
757;EOL assembly 4;EOL assembly 4;1;1;197
758;EOL assembly 5;EOL assembly 5;1;1;198
759;Final AOI automatique;Final AOI automatique;1;1;199
760;Fire wall (Certified C in other WS);Fire wall (Certified C in other WS);1;1;200
761;FKT Lazpiur/IPTE;FKT Lazpiur/IPTE;1;1;201
762;FKT Power;FKT Power;1;1;202
763;Flyingprob;Flyingprob;1;1;203
764;HOUSSING ASSY 1;HOUSSING ASSY 1;1;1;204
765;HOUSSING ASSY 2;HOUSSING ASSY 2;1;1;205
766;HOUSSING ASSY 3;HOUSSING ASSY 3;1;1;206
767;HOUSSING Dispensing;HOUSSING Dispensing;1;1;207
768;ICT;ICT;1;1;208
769;Insertion busber;Insertion busber;1;1;209
770;Insertion grouping;Insertion grouping;1;1;210
771;Insertion Long Pin;Insertion Long Pin;1;1;211
772;Insertion relais (Plus 13);Insertion relais (Plus 13);1;1;212
773;Lazer Marking /Lazer Marking MACSA;Lazer Marking /Lazer Marking MACSA;1;1;213
774;Manual Diode Insertion;Manual Diode Insertion;1;1;214
775;Manuel Station(accessories inspection);Manuel Station(accessories inspection);1;1;215
776;Mariage Assy 1;Mariage Assy 1;1;1;216
777;Mariage Assy 2;Mariage Assy 2;1;1;217
778;Mariage Assy 3;Mariage Assy 3;1;1;218
779;MidStrip;MidStrip;1;1;219
780;Panasonic;Panasonic;1;1;220
781;PCBA FKT;PCBA FKT;1;1;221
782;Poka yoke;Poka yoke;1;1;222
783;Power strip;Power strip;1;1;223
784;Press Fit;Press Fit;1;1;224
785;QX 5 (Certified C in other WS);QX 5 (Certified C in other WS);1;1;225
786;reflashing;reflashing;1;1;226
787;Reflow (Certified C in other WS);Reflow (Certified C in other WS);1;1;227
788;Rework;Rework;1;1;228
789;rework analyst;rework analyst;1;1;229
790;Rework reflash;Rework reflash;1;1;230
791;RTV dispensing;RTV dispensing;1;1;231
792;Screwing ASSY;Screwing ASSY;1;1;232
793;Selective soldering;Selective soldering;1;1;233
794;Selective soldering (Already Certified C in other WS);Selective soldering (Already Certified C in other WS);1;1;234
795;Shaker;Shaker;1;1;235
796;Shipping;Shipping;1;1;236
797;Shrink preparation;Shrink preparation;1;1;41
798;Shunt Robot (Already Certified C in other WS);Shunt Robot (Already Certified C in other WS);1;1;237
799;Shunt screwing;Shunt screwing;1;1;238
800;Soft grip gluing;Soft grip gluing;1;1;239
801;Splicing;Splicing;1;1;44
802;Toroid Dsipensing;Toroid Dsipensing;1;1;240
803;Ultrasonic welding;Ultrasonic welding;1;1;241
804;Unistrip;Unistrip;1;1;242
805;Wave soldering Insertion;Wave soldering Insertion;1;1;243
806;Wave soldering Visual Check (Already Certified C in other WS);Wave soldering Visual Check (Already Certified C in other WS);1;1;244
807;X-Ray (Certified C in other WS);X-Ray (Certified C in other WS);1;1;245
808;Yamaha;Yamaha;1;1;246
